Entity,Water scarcity per kilogram,rank
Protein bar,0.166843301,197.0
Protein shake,0.017097045,55.0
Pumpkin seeds,0.01841998,60.0
Quiche,0.030435983,116.0
Quinoa,0.018367427,59.0
Rapeseed oil,0.009335279,41.0
Raspberries,0.007682542,35.0
Raspberry jam,0.027368411,106.0
Rice,0.108068815,186.0
Rice milk,0.02333766,94.0
Rice noodles,0.095915079,180.0
Ricotta cheese,0.082103988,175.0
Salmon,0.032601179,123.0
Salmon fishcakes,0.031315342,118.0
Sausage rolls,0.06826569,157.0
Shepherd's pie,0.006643138,32.0
Shortbread biscuits,0.023644129,97.0
Sourdough bread,0.021616069,84.0
Soy desert,0.006637801,31.0
Soy milk,0.001703062,7.0
Soy yoghurt,0.007467366,34.0
Spaghetti,0.034770312,130.0
Spaghetti bolognese,0.051809197,148.0
Spinach,0.028289858,110.0
Sponge cake,0.022381439,89.0
Steak pie,0.044112803,143.0
Strawberries,0.029849325,115.0
Strawberry jam,0.038988361,140.0
Sugar,0.027654751,108.0
Sunflower oil,0.003179413,18.0
Sunflower seeds,0.002019221,11.0
Sweetcorn,0.019871241,71.0
Tea,0.006371398,26.0
Tofu,0.002565199,16.0
Tomato ketchup,0.022394653,90.0
Tomatoes,0.012327878,46.0
Tortilla wraps,0.021656055,85.0
Tuna,0.095858798,179.0
Vegan pizza,0.026382879,104.0
Vegetable lasagne,0.027534307,107.0
Ale,0.013795974,49.0
Ale,0.032720878,124.0
Almond butter,0.035397259,133.0
Almond milk,0.399182607,208.0
Almonds,0.033634198,126.0
Apple juice,0.004785981,23.0
Apple pie,0.01639741,53.0
