Entity,Emissions per kilogram,Land use per kilogram,Eutrophication per kilogram,Water scarcity per kilogram,Water withdrawals per kilogram,biodiversity_kg
Frozen mashed potato,0.826642709,1.250121709,4.916698245,1349.041835,45.34868112,23.68078271
Frozen onion rings,0.771174693,2.103162207,8.195520647,3483.442973,87.99821925,49.43879235
Frozen potato wedges,0.66477544,1.68886116,7.282360853,1512.009057,34.65756647,29.5661677
Frozen roast potatoes,1.203417144,2.443412732,13.3323762,2611.289486,100.7202905,41.15115407
Frozen sweet potato fries,0.409884818,1.967661624,6.744577435,8263.908129,110.320781,43.03291074
Fruit cake,3.452116066,2.203406452,9.602413343,14778.85392,551.0160841,55.91744852
Fruit smoothies,1.648914744,1.294264705,3.671433589,5162.963916,172.4328866,54.55111891
Garden peas,1.003836731,6.608474619,12.42587218,24784.79112,346.7919446,68.08511981
Goat's cheese,19.31207302,22.61793604,65.8733455,37119.24237,1782.233828,1224.453591
Granola,1.781192616,5.141597699,15.09353288,18338.6454,499.2759125,164.6561395
Grapes,8.278876373,1.536532489,4.925588681,3122.224457,46.5482616,26.04113162
Haddock risotto,4.898891067,3.738225867,21.3072113,17220.1364,1172.09625,141.4414557
Halloumi cheese,16.17245239,19.10111077,54.05539591,31598.03433,1534.217402,1062.129542
Ice cream,3.661809454,5.287275176,12.5508101,7961.440015,463.3415495,418.6183031
Ice lollies,1.314392937,1.941343988,8.102486425,20251.38431,653.0928728,77.5513959
Instant coffee,28.78364132,18.36817994,109.1957243,582.5312058,43.0810012,3834.515463
Kale,0.903419173,0.810392049,6.32973041,4714.708586,133.3457063,3.422205092
Kiwis,1.613706661,1.065269089,13.20244894,13204.74503,726.6945576,33.85820303
Lamb (leg),30.74094726,43.42211826,23.40692831,1019.947264,88.01058658,555.2700657
Lamb Hotpot,11.22625366,15.96092374,10.63952473,2636.497491,94.12394148,203.026969
Lamb burgers,26.9282887,38.09737295,21.02919382,2310.035003,106.4520234,486.8048263
Lamb casserole,30.87731,43.66,23.50435,995.28,86.27,558.23
Lamb chops,30.90199294,43.66,23.50492941,995.28,86.27,558.23
Lamb curry,10.1925647,16.24347882,13.0496581,3309.179874,151.8160565,213.7378451
Lamb moussaka,7.25916164,9.82535584,12.5042918,8521.204514,286.8188972,217.6048232
Lasagne sheets,1.96138175,3.551825222,12.7502676,21190.65647,834.8795132,40.99650085
Lemons,0.47015286,0.611375146,1.616900289,9155.021509,123.2619118,16.44033714
Lentils,2.536520219,27.47486058,27.72644896,746.9618569,14.31452548,472.2841692
Lettuce,4.926023126,6.781334481,5.119083672,23105.83561,294.9870221,92.3008743
Limes,0.463007857,0.626187143,1.617216429,8802.706198,121.7007714,16.22144929
Macaroni cheese,16.84931313,20.68693512,57.79138925,36337.25553,1668.207223,1109.70117
Mackerel,13.60638447,5.801549458,63.7540337,39541.63116,3961.723529,132.6040737
Marmalade,1.548921275,1.73009918,13.64686361,13067.23377,917.867517,54.20589413
Meat pizza,7.400659903,8.356963705,33.68068274,29485.7314,883.3655338,240.1118062
Meat-free burger,1.018329472,3.797216136,9.03699948,9440.000487,211.8102619,53.62285884
Meat-free mince,0.877037624,5.802559076,9.005541724,7431.131522,107.6329106,55.52037977
Meat-free nuggets,0.86184673,1.958144796,4.044626574,18010.2802,251.344926,28.55171801
Meat-free sausages,0.962557671,3.720544686,7.423425129,10216.00447,173.4083565,46.31943778
Melon,1.056535974,0.987464336,11.07363857,11885.66284,619.1902868,31.00369706
Milk chocolate,10.80027482,17.27387392,26.79452401,8151.760939,551.8474532,2196.006859
Mixed salad,0.9209,1.160973333,2.439141667,28975.09783,343.0868683,22.22572167
Mozzarella cheese,16.23319996,19.06128554,55.03168966,31345.40733,1507.351659,1041.660237
Muesli,2.271910571,3.953067796,10.50515597,13749.66728,343.1821638,80.95656631
Muffins,2.583630956,3.076159288,9.157215342,7872.708163,412.9297208,240.7573186
Mushrooms,2.352916674,2.87234171,13.40149535,87304.04857,1459.08388,70.15158598
Naan,1.01323422,2.29280569,5.372518245,8656.553854,282.8976035,39.71955272
Nut loaf,0.716130957,2.004030043,5.724987371,48441.68059,885.1011361,51.33877727
Oat milk,0.453280591,0.52687415,1.434920307,811.5056177,14.49194538,19.6350007
Olive oil,5.184628231,21.70795804,34.26383608,109146.2892,1411.242443,914.0960456
Onions,0.362860348,0.395357264,1.537679252,315.7615157,53.86059318,1.804117525
Orange juice,0.488848406,0.705296703,2.183811614,6888.851487,142.6926415,19.39941782
Oranges,0.46654954,0.666498374,1.596983026,7715.904774,115.5364951,15.30332325
Pain au chocolat,2.809512226,4.828993311,9.584183134,7522.756968,307.2127897,374.3190984
Pancakes,1.547808888,2.441447487,7.826620463,8778.749784,340.5593576,63.15031434
Parmesan cheese,24.01647983,28.24949643,80.51443178,46478.71716,2253.211409,1557.486856
Parsnips,0.989606512,1.809350044,6.19997304,1110.51618,12.65397785,4.462127484
Pasta shells,1.025582767,3.503324767,6.038768867,12889.32993,333.5653423,37.21827287
Peanut butter,3.434960202,8.694059592,14.59059597,97613.03119,2618.918845,106.4758661
Peanuts,3.146226852,8.310863474,16.73209991,74295.36079,2169.654855,108.0208227
Pears,0.925555374,1.013462954,13.82637813,14139.93986,783.3454527,34.3300815
Pecan nuts,2.515941621,11.73003149,19.34034916,132414.0734,3046.975299,253.497972
Penne pasta,1.62510675,3.735736103,11.13643719,16664.93856,614.1643333,43.41923309
Peppers,0.918662143,1.239945,2.674729286,32159.96136,362.9267493,24.04369571
