Entity,Emissions per kilogram,Land use per kilogram,Eutrophication per kilogram,Water scarcity per kilogram,Water withdrawals per kilogram,biodiversity_kg
Cider,0.006749681519719552,0.0011944077775419414,0.0035885082192808255,0.03136935994679708,0.035439138653496634,0.003174048385174079
Coconut milk,0.02402889516208974,0.00035113422826717466,0.0016481455866104277,0.03585855641794124,0.03171637567007103,0.001789304998964114
Coconut oil,0.0024815812129537346,0.0007943579702548306,0.009598011623137552,0.01681425345962221,0.050523867622327516,0.002997811344421891
Cod,0.08257524259014669,0.011412723865439497,0.09325948939800607,0.08090434218088544,0.4641466959939881,0.02184182510800418
Cod fish fingers,0.0702939213254591,0.011760786365440088,0.08043372197764458,0.06888844869956183,0.3883817236938155,0.021209124489345366
Cod fishcakes,0.058733774753118966,0.007994646604359577,0.06553609665391498,0.06271550272724671,0.32328203995066707,0.015354396661770237
Coffee beans,0.12827910959156044,0.04449523344616533,0.11633188037762193,0.0005678724864012335,0.0023559442623763823,0.444449354386759
Coffee pods,0.15510590827962337,0.03133029859691476,0.13688770067699185,0.0071432978645014035,0.029134422540515802,0.4881652195133877
Cookies,0.024316743492577054,0.01590111888033776,0.024511865047211926,0.03620798360103566,0.1118581000678109,0.0850826829710408
Cottage cheese,0.19353977210895126,0.06914319410210822,0.15317800091370576,0.12330488362182655,0.3532306078065547,0.30674508213280327
Cottage pie,0.08988695150335652,0.056610003908053166,0.31240040776680983,0.05673741663691604,0.16067878658758747,0.08597732172647062
Courgettes,0.00493439166563695,0.002042748854905281,0.0031459743127622013,0.06895073929672338,0.047160428881565415,0.003861311979706568
Couscous,0.007339041172870639,0.005987135573902528,0.008950309693095366,0.03446476634754478,0.048751279224387024,0.006711179271504241
Cow's milk,0.02698740641118574,0.008602661720494923,0.018590315767254242,0.01631949462172051,0.04523419371915796,0.03328726484983347
Cracker biscuits,0.01730108492006045,0.00951582857734974,0.02317038262099495,0.04656128730668705,0.11507301839620272,0.024274407220177888
Crisps,0.02180360291379108,0.01670178880318278,0.05628810031019523,0.028664376646854624,0.061472832206740366,0.03529612065248109
Croissants,0.011386032293227778,0.007670224730747082,0.015186390028122485,0.024052449884286595,0.05349579540071177,0.02054990890375613
Cucumber,0.004939288306458475,0.0016042024230572556,0.0023605082305275774,0.06882474227930711,0.04654975080410479,0.003512080135214252
Dairy-free cheese,0.013655178808646366,0.008944035567987977,0.0190639766366446,0.17102259739488346,0.20695086920817474,0.030075953362233225
Dairy-free ice cream,0.017322161357875236,0.007242048521598562,0.013942498802759547,0.020204306409967693,0.05956621135522215,0.08290224145703552
Dark chocolate,0.1575782874324449,0.11334931137503945,0.0732292036183417,0.00794553901127698,0.04402366296449917,0.9999999999361299
Doughnuts,0.015380438668077964,0.006190885862291363,0.011281665564673032,0.015466506420647914,0.03690586475876057,0.048306054484618416
Egg noodles,0.009064623973929053,0.0060985546994134455,0.012911317674374194,0.023422024386867305,0.03988027551032864,0.011441094026402511
Eggs,0.03264867674934411,0.015059340823000613,0.03400580525855721,0.07394488253767784,0.1212240571300373,0.023117616913604314
Falafels,0.006876848821065043,0.014456898849652388,0.020113261596947284,0.010698377716038363,0.0119285736498811,0.01318733248927618
Feta cheese,0.11294799646207135,0.03999843722840987,0.08871196648560037,0.0700962439802611,0.19961929575168305,0.17754688368505656
Flapjack,0.01343523666321392,0.008429627937868415,0.01918755399684799,0.02115289820339323,0.06913719739318977,0.02185968727235692
Frozen chips (french fries),0.004216410647822827,0.004006736966081631,0.01506049939760979,0.004464735221747477,0.007230999826019792,0.007336098817321065
Frozen jacket potatoes,0.0023949555838008625,0.0016561719009639071,0.00608698919362157,0.0021730676525733216,0.0022016893714836812,0.001610227989325824
Frozen mashed potato,0.0047812602249486386,0.0020020914322393777,0.006720936712606011,0.00335233761922913,0.00661150965344743,0.004052069760682091
Frozen onion rings,0.004353069487198305,0.0040001449112429255,0.012658973243655683,0.00865900432321422,0.012841003604953483,0.008823055241065405
Frozen potato wedges,0.0035317101178970085,0.00302973887512392,0.011005216025164593,0.003757515781586513,0.005049939775620648,0.005142180632065238
Frozen roast potatoes,0.007689807076310956,0.004797104430518919,0.02196195833666755,0.006490607863978734,0.014699219880612457,0.007287990907556252
Frozen sweet potato fries,0.0015640572009471565,0.003682765593490817,0.010031275631220452,0.02054446241319491,0.016101490576228106,0.007636536229017839
Fruit cake,0.02504885684635423,0.004234944270642547,0.015206894173749097,0.03674228263163948,0.08047050476697044,0.010023053802734775
Fruit smoothies,0.011128869075752262,0.0021054863671085065,0.004465728558104386,0.012834722611677642,0.025173733866908386,0.009769977620924332
Garden peas,0.006149126690645349,0.014552815223965253,0.020320254905880943,0.06161959966266414,0.05064103655821875,0.012276790945705534
Goat's cheese,0.14748133521049425,0.052051339812421715,0.11711508248570746,0.09228619770507124,0.2603051249036171,0.22646326199403835
Granola,0.01215000095830822,0.011116989445297461,0.02515146097528657,0.045592834003509025,0.07291321106194515,0.030164001145802383
Grapes,0.06230950191428582,0.00267294358608767,0.006737037533959663,0.007760922778188308,0.006786723258849836,0.004489261552114645
Haddock risotto,0.03621737700826028,0.007829909901199212,0.036404601562482965,0.04281193477949087,0.17118696516757986,0.025864099061384586
Halloumi cheese,0.12324472877020147,0.04381397595660733,0.0957124544126779,0.07855906349866003,0.2240792501724117,0.19639705378463615
Ice cream,0.02666760532492045,0.011458205824138491,0.02054652087643818,0.019792449381996383,0.06766455171474665,0.07720373022567438
Ice lollies,0.008546495490713556,0.003621122512895892,0.012490485737733797,0.05034839175992254,0.09538008563646465,0.014030166552357793
Instant coffee,0.22059802678333978,0.042097252075169234,0.19557308855808753,0.0014465963029375803,0.006280286879063971,0.7099077310447957
Kale,0.00537394359696652,0.0009721246498369224,0.009279976388009023,0.011720245303619325,0.01946456645416678,0.00029970764033402503
Kiwis,0.010857076858872808,0.0015691161850384867,0.021726656535695166,0.03282864564640193,0.10613052445445836,0.005937165901770348
Lamb (leg),0.2357076401225244,0.10078040808052025,0.04020724616520409,0.0025341244111794082,0.012842810006870342,0.10251483090252729
Lamb Hotpot,0.08506206719351092,0.03645880157189328,0.017085131097779236,0.006553281406653443,0.013735741303262787,0.03727117568969559
Lamb burgers,0.20627545200177894,0.08830840245312349,0.03590110434607278,0.005741612229605931,0.015536410551314763,0.0898334681864767
Lamb casserole,0.236760305540416,0.10133759198833327,0.0403836794949824,0.0024727952888243345,0.012588575751410596,0.1030630799235331
Lamb chops,0.23695084789348028,0.10133759198833327,0.0403847288222483,0.0024727952888243345,0.012588575751410596,0.1030630799235331
Lamb curry,0.07708240485284286,0.03712062262485357,0.021449948169613386,0.008225741723821548,0.02216239015632228,0.03925508031080142
Lamb moussaka,0.054437714976419624,0.022087628319275333,0.02046227497016591,0.02118416698185656,0.04188122924464571,0.0399713350457717
Lasagne sheets,0.013540988482038174,0.007393308757286399,0.020907743832786596,0.052683662393315615,0.12193227884860731,0.007259345516183748
Lemons,0.002029302205685527,0.0005059727891081934,0.0007449128828740348,0.02275999801188405,0.017991703215777005,0.0027109699952587696
Lentils,0.017980825763214886,0.06342758161706896,0.04803001552309242,0.0018554129240365518,0.0020785863598774637,0.0871439030703063
Lettuce,0.0364268255733558,0.014957700161384922,0.007087462224370551,0.05744528718514272,0.0430742851812563,0.016762114722000114
Limes,0.0019741456609517418,0.0005406665254621269,0.0007454854210108308,0.021884052109821917,0.017763679300263346,0.0026704268489218495
Macaroni cheese,0.1284698210038021,0.04752840905449063,0.10247843994429628,0.09034197857357708,0.24365012517083878,0.20520843127995866
Mackerel,0.10343571819044213,0.01266277644032998,0.11327695118545517,0.09830887531104604,0.5786466241331009,0.024227209340638257
Marmalade,0.010356959778305514,0.003126329563984999,0.022531503588034654,0.03248675751119,0.13405370595864718,0.009706033922017923
Meat pizza,0.055530024562981374,0.01864825349386324,0.05881329481216994,0.07330733858725721,0.12901426344453987,0.04414015439947989
Meat-free burger,0.006261004812639373,0.007968081198434392,0.01418291429255518,0.023468528581402654,0.030925287858180973,0.009598042157824256
Meat-free mince,0.005170288666721556,0.012665141241018918,0.014125943441008322,0.0184739669409307,0.015708893771353115,0.009949507388728388
Meat-free nuggets,0.005053021084824502,0.0036604745869805045,0.005141591202177376,0.04477643419816587,0.03669981582927141,0.004954280836653509
Meat-free sausages,0.005830468977071453,0.007788495753462066,0.011260687264961884,0.025397872801395247,0.02531621334285028,0.008245277859596993
Melon,0.006555943616259815,0.0013868762353770794,0.01787132306687822,0.029549070212867498,0.09042819251669233,0.005408444671874206
Milk chocolate,0.08177368215796846,0.039534088948117406,0.04634227409680439,0.0202656358381322,0.08059193653404219,0.40641763734487224
Mixed salad,0.0055088885391042725,0.0017932816239923644,0.002234014377644358,0.07203777303296072,0.050099864217023254,0.0037825584439330293
Mozzarella cheese,0.12371367553791784,0.043720694407208244,0.09748054894228683,0.07793096821443252,0.22015517523844438,0.19260566002737622
Muesli,0.015938145880938667,0.00833312828846303,0.01684178561952913,0.034183461622111756,0.05011378330658166,0.014660883708356998
Muffins,0.018344501673887303,0.006279169420994099,0.014400628487667485,0.019571839321306222,0.060301278963379834,0.044259718384851834
Mushrooms,0.01656348036208992,0.005801773070223217,0.022087134996874806,0.21705845132044788,0.21310506753466066,0.012659548784163012
Naan,0.00622167151986568,0.00444434166610614,0.007546439127720674,0.021520680031440757,0.04130847567081402,0.007022824873766883
Nut loaf,0.003928154020123108,0.0037679503488209317,0.008184770299600703,0.12043667272135763,0.12926776968409429,0.009174976860513454
Oat milk,0.0018990550861449245,0.00030804841220825305,0.0004153421868898243,0.002015885208411495,0.002104500736501143,0.0033026963620274427
Olive oil,0.03842315280265408,0.049919923176307106,0.0598694013686005,0.27136384360498444,0.20611723236715104,0.16897778995929758
Onions,0.0012010472367613388,-7.757846734325296e-13,0.0006014414306091319,0.0007833386767668004,0.007854779968166813,2.9494098142565836e-14
Orange juice,0.0021736242891432314,0.0007259626889514716,0.001771604708470441,0.01712572018696445,0.02082980225381456,0.0032590609058871724
Oranges,0.0020014860269141335,0.0006350864217405634,0.0007088421779708408,0.019181986023037258,0.01686331030191185,0.0025003684450613474
Pain au chocolat,0.020088214080065336,0.010384784718253921,0.015173878769515963,0.018701771215801726,0.044860010154046726,0.06899848201860724
Pancakes,0.010348372598800231,0.004792501290786924,0.011990884978927844,0.02182449034223412,0.049730689934994125,0.011362749621280976
Parmesan cheese,0.18379746057274965,0.06524199002872373,0.14363048787389174,0.11555624397267253,0.32909724131977797,0.2881488073450358
Parsnips,0.006039275132732068,0.00331195669997736,0.00904498226244646,0.0027593018824599836,0.0018360427856483114,0.0004923255755821261
Pasta shells,0.00631699732798679,0.007279707465116557,0.008753037121517888,0.032044443099231,0.048709127265891175,0.006559529377976962
Peanut butter,0.024916420487662325,0.019437823990641853,0.02424062855491163,0.24268921671292534,0.3825133475772173,0.019387654544662923
Peanuts,0.022687515344387957,0.01854027418086652,0.028118950424174855,0.1847155289542475,0.3168927704022945,0.019673816620438215
Pears,0.0055448261509266185,0.0014477720888166005,0.02285660926529355,0.03515377899539848,0.11440509022577247,0.006024568824602529
Pecan nuts,0.017821967276920963,0.02654889811570163,0.03284256074205474,0.32921350152137296,0.4450363011193669,0.04661958520808657
Penne pasta,0.010945080953328423,0.007824078194927633,0.017985053075381292,0.041431571060975815,0.08969408967990739,0.0077080921585464665
Peppers,0.005491613184604308,0.001978254804470907,0.0026606699619882066,0.0799561577032501,0.0529977248764137,0.004119289731395728
Pineapple,0.005594638078897169,0.0014520875763793508,0.023175779083604117,0.0354881964050308,0.11582104711444773,0.006082204537725511
Pitta bread,0.0027503737642151933,0.0032995796437849134,0.005208355076419791,0.01206630333693716,0.019617902061900363,0.003148582004814558
Popcorn,0.012400372891077016,0.006526555451255534,0.013966289008330128,0.021458432921375267,0.04626692174876229,0.023393238149372914
Poppadoms,0.009984078109089287,0.010680846229753094,0.03887166506164687,0.01893582949747723,0.04286857279414587,0.024392039418359632
Pork chops,0.09230024848786876,0.039614753423954915,0.13545543138514854,0.1419355444878086,0.2398230691195919,0.052776039803942375
Pork loin,0.09085377855205089,0.037636157035709834,0.1347161308943362,0.1430223742859256,0.23532209575521387,0.05418961177670395
Pork sausage rolls,0.04616024373995114,0.017638665933904726,0.05961685621630511,0.0699705654024574,0.1144174112904175,0.0364911301354882
Pork sausages,0.07380399477194255,0.030834124826711315,0.10811112899247903,0.11327000202550257,0.18873212307060672,0.04382638685415351
Porridge (oatmeal),0.01040518988362583,0.01075097962028592,0.016799671015228352,0.021380857165626647,0.03395681812293195,0.017163944533511354
Potato croquettes,0.004376617570186618,0.002369671034367536,0.006202787726597023,0.006623991556619023,0.010492360878522223,0.0031105695765645033
Potatoes,-7.245828378284506e-13,0.0009582037665672142,0.000425293395566584,0.01824798039236467,0.011790867640735107,0.000631676036696373
Prawn crackers,0.03647955130186535,0.011881072147898863,0.09499359310232472,0.06463080894416796,0.1191559264345619,0.030336068289756494
Prawns,0.15982659030222013,0.001456443016087716,0.278103629353543,0.27877443461853063,0.4669717442542303,0.003720134586169518
Protein bar,0.024436960825176983,0.02513940496921358,0.01985509173828559,0.166843301392123,0.20796844199290637,0.08229605812059931
Protein shake,0.011860796310042363,0.012290597949694794,0.010658071032559146,0.017097045246829052,0.047151528715207607,0.024087990784313104
Pumpkin seeds,0.008620468375928666,0.0068890801899636625,0.008156205480206161,0.01841998040005724,0.031041432575302143,0.018279294853279362
Quiche,0.034425979562076894,0.01216614044837221,0.0307975655877172,0.030435982836558413,0.06657205134280919,0.04564738318266592
Quinoa,0.007189770858523714,0.006643896734583274,0.008084902079768681,0.018367426688264996,0.03071269290847992,0.01746878571430073
Rapeseed oil,0.023787315310093145,0.015971664115023463,0.02564075042982384,0.009335279324408871,0.012939393628016917,0.01877009601100472
Raspberries,0.06302044307636527,0.0026923926803271024,0.006801030753920048,0.0076825415004996836,0.006664767346851218,0.00448788059701507
Raspberry jam,0.037826500214495636,0.0036620329338062957,0.02358506757094788,0.02736841108620831,0.11491122895959706,0.009813338757541668
Rice,0.028706353608652986,0.005952425301103261,0.045720225953723895,0.10806881503203754,0.30882764425305215,0.007514675664575209
Rice milk,0.009530004125654575,0.0002881887808041176,0.00808260658288025,0.023337659696484707,0.06924345460593939,0.0006346468320010779
Rice noodles,0.02473243093007068,0.004901595394426337,0.03838472919993935,0.09591507886811582,0.2730597347432278,0.005479131014701596
Ricotta cheese,0.12419054307547708,0.043503886149896524,0.09779725862503788,0.08210398836117463,0.22627385367200695,0.18953182588524156
Salmon,0.07878084568158542,0.010194978785049623,0.10242737234596418,0.03260117879619095,0.19873128440660812,0.01885700907913358
Salmon fishcakes,0.04862156219995135,0.006945258715534302,0.061452567637507734,0.031315342365022904,0.1569945455322244,0.013833660213906307
Sausage rolls,0.04355607558613437,0.01743691188256709,0.058465920364230164,0.06826568993913826,0.11383526587497289,0.03268592732733562
Shepherd's pie,0.05812739812810384,0.02494761925810841,0.013193420684793839,0.006643137666223178,0.010837364793829218,0.02675102883846669
Shortbread biscuits,0.015566617202354612,0.006271605547838919,0.018683530821920407,0.02364412878411507,0.07507119338732408,0.019808034071547364
Sourdough bread,0.004970579986815657,0.00462965608761126,0.0076234633964463476,0.02161606922900395,0.03630621117922155,0.006339568127599875
Soy desert,0.006793154716646196,0.0037093588958839775,0.008961062891621192,0.0066378005680941985,0.0422384048655681,0.028576655547609926
Soy milk,0.005294344244776948,0.0011203970637176824,0.0028031049054376834,0.001703061568061289,0.007360438117544759,0.006759372784104072
Soy yoghurt,0.0022289846929983257,0.0014720136510334516,0.004341698595040058,0.007467365683402129,0.028669465326593147,0.00318639039840358
Spaghetti,0.011106483811120548,0.008009609986367058,0.01791747883347801,0.034770311915546095,0.07316356721751054,0.007162181919757336
Spaghetti bolognese,0.058880661487456555,0.03458206760227498,0.1728790843277185,0.05180919686002733,0.1233756412941731,0.05580938958037822
Spinach,0.006189972731114055,0.0013981883655705535,0.002468504510638352,0.02828985794885087,0.03941885312336617,0.002750803441564039
Sponge cake,0.012893056663482538,0.004685112811396764,0.01418402711081241,0.02238143925798494,0.07124950473495467,0.015929595150404166
Steak pie,0.053223438016866395,0.032107397435448444,0.16269498027047927,0.044112803236108306,0.10628331752800874,0.05173830856382032
Strawberries,0.02342464537872221,0.007148318223197771,0.004750746045530598,0.029849324506916124,0.05099292759764515,0.013576369116756474
Strawberry jam,0.018445100368275007,0.006027087672671809,0.022535945929077462,0.03898836123349915,0.13870346830033267,0.01463163304959617
Sugar,0.012694178921012935,0.004118446467824955,0.02902105606592515,0.027654751050996094,0.17561174990040465,0.013326163499029226
Sunflower oil,0.026664422998194895,0.044657560323128453,0.15729143243395619,0.0031794129457437,0.003375510338788553,0.11515341878062302
Sunflower seeds,0.01333288638451524,0.024791541307085614,0.087344004197722,0.0020192208539053587,0.002071200255922276,0.06592637021307024
Sweetcorn,0.005897211124073376,0.003952444422101185,0.005185252708032249,0.019871241162854835,0.022953897853797214,0.001691946832791135
Tea,0.13442726871634428,0.05449139430381692,0.11862825374888306,0.006371398294415626,0.009107236386843198,0.47639630333553673
Tofu,0.006280581595195896,0.006182334913255271,0.007861545855814974,0.0025651993213789254,0.004542486201205607,0.005580317273865252
Tomato ketchup,0.01854647147011349,0.0029803218701648267,0.01649576987663064,0.022394653261264923,0.07228146063488727,0.004620700913762832
Tomatoes,0.01593509575231416,0.0011562888725627888,0.008725913939532875,0.012327877938792938,0.04258906611800093,0.0007641346168232242
Tortilla wraps,0.005722595295739745,0.004358396925261171,0.006877597636861965,0.021656054956216787,0.033850299312421686,0.00709397140777408
Tuna,0.09933638391709018,0.012007620174460588,0.10928670100809182,0.09585879794845201,0.5508478492927288,0.022088927519236926
Vegan pizza,0.013438486891515928,0.0038667646297760824,0.015569119093569223,0.026382878699062716,0.042914253182068735,0.009702631344539008
Vegetable lasagne,0.024462357242187236,0.00879275397545757,0.019279744100674276,0.027534306513542023,0.05592881232205909,0.034437587007971206
Ale,0.009433460836709512,0.007200072144089193,0.009985934207486214,0.013795974231963097,0.022259805058031216,0.030409900049633325
Ale,0.008506138185659467,0.004402785742944129,0.01112788446522933,0.03272087807853988,0.05473154079084857,0.007698218196779347
Almond butter,0.03879637594053026,0.01434729818269398,0.0341343147158872,0.03539725929557997,0.08459487305611187,0.05667307495375271
Almond milk,0.017052834155035366,0.02689044911864883,0.031760708369504634,0.399182607352857,0.5050821149178745,0.04800452674070646
Almonds,0.005883310229352214,0.001439376320032094,0.02158207781597138,0.03363419836624775,0.10855792248668572,0.005886990689837436
Apple juice,0.01169985743863642,0.00922330469869996,0.006224453908766891,0.0047859809217931995,0.013649774509651564,0.015786532694125506
Apple pie,0.02242183675509977,0.00659200736708785,0.01585702090258821,0.01639741037043118,0.04552271827334988,0.027948708001545572
